review_year,restaurant_id_x,stars_mean,stars_count,dining_stars_service_mean,dining_stars_service_count,dining_stars_food_mean,dining_stars_food_count,dining_stars_atmosphere_mean,dining_stars_atmosphere_count
2014,ChIJ8dHXli3lmUcRbSsbGrUNotc,4.0,1,,0,,0,,0
2014,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.0,1,,0,,0,,0
2015,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.0,1,,0,,0,,0
2015,ChIJm7waYdT6mUcRxPFyE982gE0,5.0,1,,0,,0,,0
2016,ChIJYR6MeNP6mUcRX0PfqXYXqks,5.0,1,,0,,0,,0
2016,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.0,1,,0,,0,,0
2016,ChIJm7waYdT6mUcRxPFyE982gE0,5.0,2,,0,,0,,0
2017,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.6666666666666665,15,,0,,0,,0
2017,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.5,2,,0,,0,,0
2017,ChIJbxg5UNT6mUcRY_RPFW_mgjg,2.5,2,,0,,0,,0
2017,ChIJm7waYdT6mUcRxPFyE982gE0,4.285714285714286,7,,0,,0,,0
2018,ChIJ5bNxBdP6mUcRoihNgmDzZl4,5.0,6,,0,,0,,0
2018,ChIJ8dHXli3lmUcRbSsbGrUNotc,4.05,20,,0,,0,,0
2018,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.222222222222222,9,,0,,0,,0
2018,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.384615384615385,13,,0,,0,,0
2018,ChIJm7waYdT6mUcRxPFyE982gE0,4.565217391304348,23,,0,,0,,0
2019,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.884615384615385,26,,0,,0,,0
2019,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.975609756097561,41,,0,,0,,0
2019,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.894736842105263,19,,0,,0,,0
2019,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.45,20,,0,,0,,0
2019,ChIJm7waYdT6mUcRxPFyE982gE0,4.588235294117647,34,,0,,0,,0
2020,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.514285714285714,35,,0,,0,,0
2020,ChIJ8dHXli3lmUcRbSsbGrUNotc,4.266666666666667,45,,0,,0,,0
2020,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.829268292682927,41,,0,,0,,0
2020,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.4324324324324325,37,,0,,0,,0
2020,ChIJm7waYdT6mUcRxPFyE982gE0,4.463414634146342,41,,0,,0,,0
2021,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.870967741935484,31,,0,,0,,0
2021,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.923076923076923,26,,0,,0,,0
2021,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.75,24,,0,,0,,0
2021,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.157894736842105,19,,0,,0,,0
2021,ChIJm7waYdT6mUcRxPFyE982gE0,4.642857142857143,28,,0,,0,,0
2022,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.586206896551724,29,,0,,0,,0
2022,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.68,25,,0,,0,,0
2022,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.916666666666667,36,,0,,0,,0
2022,ChIJbxg5UNT6mUcRY_RPFW_mgjg,3.870967741935484,31,,0,,0,,0
2022,ChIJm7waYdT6mUcRxPFyE982gE0,4.545454545454546,22,,0,,0,,0
2023,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.536231884057971,69,4.666666666666667,15,4.733333333333333,15,4.4,15
2023,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.918032786885246,61,3.8181818181818183,11,4.3,10,3.8181818181818183,11
2023,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.830508474576271,59,4.714285714285714,14,4.714285714285714,14,3.7142857142857144,14
2023,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.083333333333333,48,4.444444444444445,9,4.0,9,3.888888888888889,9
2023,ChIJm7waYdT6mUcRxPFyE982gE0,4.041666666666667,72,4.5,10,4.7,10,4.8,10
2024,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.7073170731707314,164,4.748031496062992,127,4.837209302325581,129,4.590551181102362,127
2024,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.6825396825396823,126,3.90625,96,3.9450549450549453,91,4.0,94
2024,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.720238095238095,168,4.526315789473684,114,4.793103448275862,116,4.070796460176991,113
2024,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.3936170212765955,188,4.611464968152866,157,4.506410256410256,156,4.503184713375796,157
2024,ChIJm7waYdT6mUcRxPFyE982gE0,4.27906976744186,129,4.55,100,4.39,100,4.48,100
2025,ChIJm7waYdT6mUcRxPFyE982gE0,1.0,1,1.0,1,1.0,1,2.0,1
